球员,球队,OffensiveRating,DefensiveRating,NetRating,UsagePercent,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,Game_ID,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
吴轲,山东,68.25800610578004,119.94169746740707,-51.68369136162703,14.692389103096875,435,174,4,4,31,17,31,2,18,5,0,9,32,58556858004179,10,25,1,8,9,12,16
刘大鹏,山东,54.56079173891195,112.03597689382046,-57.47518515490851,14.024731229408705,29,32,0,3,1,3,5,3,1,0,0,1,2,58556858004179,0,3,0,5,2,2,3
曼尼-哈里斯,山东,,133.92973517985538,,37.737370479377496,41,34,0,4,6,3,1,1,5,3,0,3,32,2019202000281,13,20,2,7,0,0,1
田嘉夫,山东,,120.5684494490735,,17.507255583269973,406,96,1,2,10,0,15,1,4,2,0,3,39,58556858004179,3,9,11,24,0,0,11
李泓翰,山东,,,,,203,0,0,0,0,0,0,0,0,0,0,0,0,58556858004179,0,0,0,0,0,0,0
王冠翔,山东,,,,,377,0,0,0,0,0,0,0,0,0,0,0,0,58556858004179,0,0,0,0,0,0,0
马光翰,山东,,,,,145,0,0,0,0,0,0,0,0,0,0,0,0,58556858004179,0,0,0,0,0,0,0
田雨,天津,115.59389007461269,127.0494742560644,-11.455584181451712,22.00666450397932,464,191,0,14,16,13,19,8,10,2,0,16,96,58556858004209,24,42,9,30,21,23,11
时德帅,天津,115.72771222520475,127.27547340948105,-11.547761184276297,18.687567016761445,667,1163,29,66,131,46,95,48,63,10,7,105,510,58556858004209,128,226,50,131,104,128,29
马尔科-托多罗维奇,天津,112.47534969688083,125.08643000921963,-12.6110803123388,28.049001608485163,551,812,23,86,214,74,81,41,90,22,8,157,525,58556858004209,178,294,11,32,136,189,23
金鑫,天津,116.26170457782277,129.4339369160781,-13.172232338255327,13.305781799038721,290,713,20,52,95,25,73,18,23,2,2,48,215,58556858004209,66,116,17,50,32,43,29
查森-兰德尔,天津,103.72824226166526,126.20681323714588,-22.478570975480622,36.40936826352004,725,744,2,13,67,94,68,38,77,5,3,136,574,58556858004209,115,257,72,195,128,147,23
李荣培,天津,97.86422491217449,125.40616390168634,-27.54193898951185,19.210259893002434,203,354,9,10,27,30,42,19,24,5,0,18,136,58556858004209,26,62,24,56,12,16,11
孟子凯,天津,98.64835681167801,126.85803961255785,-28.209682800879833,16.582867282349834,29,594,8,29,75,17,81,24,35,9,15,53,192,58556858004209,50,85,18,73,38,52,28
刘伟,天津,95.15840555000624,127.83419900374159,-32.67579345373535,15.563236984849633,609,239,6,12,16,8,52,9,12,0,0,11,70,58556858004209,24,48,6,18,4,8,20
栾晓君,天津,93.48278709481164,128.2851143542017,-34.80232725939007,14.803827045833147,116,27,0,0,2,0,2,1,0,0,0,3,7,58556858004209,2,7,0,0,3,4,6
何思雨,天津,82.01686845523611,123.82056627373971,-41.80369781850361,17.911734667115102,580,215,1,7,25,7,45,15,17,1,0,15,64,58556858004209,15,27,10,36,4,10,20
田野,天津,84.95091919060859,127.00578262523959,-42.054863434631,11.935060027262072,493,369,14,12,24,51,58,17,19,0,0,18,69,58556858004209,15,30,11,44,6,8,24
潘宁,天津,85.17773749185132,127.57423409358333,-42.39649660173201,15.780041818028623,174,274,0,18,21,3,41,5,17,13,1,29,68,58556858004209,17,39,6,26,16,29,20
史仪,天津,80.2452447564819,126.26314817065631,-46.01790341417441,18.83762018413717,638,607,14,11,36,97,65,32,59,1,0,56,178,58556858004209,31,71,27,103,35,40,25
刘帅,天津,80.08171608466034,127.79277189316664,-47.7110558085063,13.045564285261776,348,555,19,9,20,45,37,22,32,2,0,28,114,58556858004209,35,75,10,42,14,22,29
高森堡,天津,64.88434044793978,125.49153497410688,-60.607194526167106,15.51359957542789,58,16,0,2,1,0,0,1,0,0,0,1,2,58556858004209,1,3,0,2,0,1,2
孟祥龙,天津,,131.77353783555796,,0.0,406,5,0,0,1,1,2,0,0,0,0,1,0,58556858004209,0,0,0,0,0,0,1
关健,天津,,,,,1972,0,0,0,0,0,0,0,0,0,0,0,0,58556858004209,0,0,0,0,0,0,0
张云梦,天津,,,,,377,0,0,0,0,0,0,0,0,0,0,0,0,58556858004209,0,0,0,0,0,0,0
张智涵,天津,,,,,261,0,0,0,0,0,0,0,0,0,0,0,0,58556858004209,0,0,0,0,0,0,0
韩博林,天津,,,,,232,0,0,0,0,0,0,0,0,0,0,0,0,58556858004209,0,0,0,0,0,0,0
汉斯布鲁,四川,134.6377452928709,120.49373809376483,14.14400719910607,32.33719823398237,800,587,5,77,141,24,57,28,30,10,27,160,527,32307232003360,168,297,2,14,185,209,16
王政博,四川,118.02101728749955,113.86226038217387,4.158756905325674,13.398358610221383,174,16,1,0,0,1,5,2,0,0,0,1,5,58556858004210,0,0,1,4,2,2,1
景菡一,四川,118.40462038816948,125.86364526393142,-7.459024875761941,11.117262610128513,29,205,0,16,12,5,35,4,2,2,0,7,53,58556858004210,13,24,9,25,0,2,10
袁振梁,四川,113.15896394739195,125.19553137761226,-12.036567430220302,16.410923826386366,725,218,11,23,29,5,43,4,10,5,4,22,80,58556858004210,30,60,0,0,20,26,23
